fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4,k,t,valid_s1,valid_s2,valid_s3,valid_s4,w_s1,w_s2,w_s3,w_s4
0.0,0.0,0.0,1.0,504,50.400001525878906,1.0,1.0,1.0,1.0,6.17066286956458e-10,0.00278764427639544,0.0008577934931963682,0.9963545799255371
0.0,0.0,0.0,1.0,505,50.5,1.0,1.0,1.0,1.0,1.572406915784086e-08,0.022596217691898346,0.03861617669463158,0.938787579536438
0.0,0.0,0.0,1.0,506,50.599998474121094,1.0,1.0,1.0,1.0,3.6334361652734515e-07,0.009547028690576553,0.9899441003799438,0.0005084506119601429
0.0,0.0,0.0,1.0,507,50.70000076293945,1.0,1.0,1.0,1.0,1.2263446933502564e-06,0.004081943538039923,0.9958966970443726,2.016163671214599e-05
0.0,0.0,0.0,1.0,508,50.79999923706055,1.0,1.0,1.0,1.0,6.698924153170083e-06,0.003881381591781974,0.9961119294166565,5.5379551638923274e-11
0.0,0.0,0.0,1.0,509,50.900001525878906,1.0,1.0,1.0,1.0,2.032589463851764e-06,0.011647118255496025,0.9883508682250977,1.8255756017993008e-08
0.0,0.0,0.0,1.0,510,51.0,1.0,1.0,1.0,1.0,1.5162712543315138e-06,0.020621230825781822,0.979377269744873,6.921123119063566e-10
0.0,0.0,0.0,1.0,511,51.099998474121094,1.0,1.0,1.0,1.0,5.427640189736849e-06,0.007456536404788494,0.9925380349159241,2.0256449850819536e-09
0.0,0.0,0.0,1.0,512,51.20000076293945,1.0,1.0,1.0,1.0,1.2445697393559385e-05,0.017768260091543198,0.9822086691856384,1.0603866940073203e-05
0.0,0.0,0.0,1.0,513,51.29999923706055,1.0,1.0,1.0,1.0,4.374204308987828e-06,0.022626390680670738,0.9773687124252319,5.270360929898743e-07
0.0,0.0,0.0,1.0,514,51.400001525878906,1.0,1.0,1.0,1.0,2.251252681162441e-06,0.01747485063970089,0.9825199842453003,2.891724307119148e-06
0.0,0.0,0.0,1.0,515,51.5,1.0,1.0,1.0,1.0,4.008847554359818e-06,0.021195895969867706,0.9787998199462891,2.8928545248163573e-07
0.0,0.0,0.0,1.0,516,51.599998474121094,1.0,1.0,1.0,1.0,2.407632564427331e-05,0.025585880503058434,0.9742705821990967,0.00011948833707720041
0.0,0.0,0.0,1.0,517,51.70000076293945,1.0,1.0,1.0,1.0,1.5643847291357815e-05,0.02850310318171978,0.9714808464050293,3.801431773808872e-07
0.0,0.0,0.0,1.0,518,51.79999923706055,1.0,1.0,1.0,1.0,1.2501465107561671e-06,0.01900644227862358,0.9809922575950623,4.5080295052457586e-08
0.0,0.0,0.0,1.0,519,51.900001525878906,1.0,1.0,1.0,1.0,1.3729804777540267e-06,0.009345661848783493,0.9906530380249023,3.150613797631152e-11
0.0,0.0,0.0,1.0,520,52.0,1.0,1.0,1.0,1.0,1.7788341210689396e-05,0.010200242511928082,0.9897819757461548,4.8447255096562e-08
0.0,0.0,0.0,1.0,521,52.099998474121094,1.0,1.0,1.0,1.0,1.5102351653695223e-06,0.007887671701610088,0.9921107888221741,3.2909228469189496e-16
0.0,0.0,0.0,1.0,522,52.20000076293945,1.0,1.0,1.0,1.0,2.950299631265807e-06,0.008467096835374832,0.9915299415588379,9.74556112892655e-12
0.0,0.0,0.0,1.0,523,52.29999923706055,1.0,1.0,1.0,1.0,8.472753734167782e-07,0.008425199426710606,0.9915739893913269,1.4339125720130852e-10
0.0,0.0,0.0,1.0,524,52.400001525878906,1.0,1.0,1.0,1.0,3.892489530699095e-07,0.007795087061822414,0.9922045469284058,5.026469691860047e-14
