fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4,k,t,valid_s1,valid_s2,valid_s3,valid_s4,w_s1,w_s2,w_s3,w_s4
0.0,0.0,0.0,0.0,140,14.0,1.0,1.0,1.0,1.0,0.22456780076026917,0.10195168852806091,0.31429216265678406,0.35918837785720825
0.0,0.0,0.0,0.0,141,14.100000381469727,1.0,1.0,1.0,1.0,0.23176603019237518,0.11039863526821136,0.3635961711406708,0.29423919320106506
0.0,0.0,0.0,0.0,142,14.199999809265137,1.0,1.0,1.0,1.0,0.2363363355398178,0.08159748464822769,0.31706711649894714,0.36499911546707153
0.0,0.0,0.0,0.0,143,14.300000190734863,1.0,1.0,1.0,1.0,0.20036937296390533,0.07273096591234207,0.2878481149673462,0.4390515685081482
0.0,0.0,0.0,0.0,144,14.399999618530273,1.0,1.0,1.0,1.0,0.1877358853816986,0.07393621653318405,0.22417119145393372,0.5141567587852478
0.0,0.0,0.0,0.0,145,14.5,1.0,1.0,1.0,1.0,0.14023824036121368,0.03680407255887985,0.28975048661231995,0.5332072377204895
0.0,0.0,0.0,0.0,146,14.600000381469727,1.0,1.0,1.0,1.0,0.06281694769859314,0.03039982169866562,0.3448841869831085,0.5618990063667297
0.0,0.0,0.0,0.0,147,14.699999809265137,1.0,1.0,1.0,1.0,0.08347401767969131,0.02441784180700779,0.26107245683670044,0.6310357451438904
0.0,0.0,0.0,0.0,148,14.800000190734863,1.0,1.0,1.0,1.0,0.054462093859910965,0.04021025449037552,0.26862767338752747,0.6366999745368958
0.0,0.0,0.0,0.0,149,14.899999618530273,1.0,1.0,1.0,1.0,0.05194549635052681,0.1265755146741867,0.14331454038619995,0.6781644225120544
0.0,0.0,0.0,0.0,150,15.0,1.0,1.0,1.0,1.0,0.009730667807161808,0.18161891400814056,0.1336122453212738,0.6750381588935852
0.0,0.0,0.0,0.0,151,15.100000381469727,1.0,1.0,1.0,1.0,0.022312268614768982,0.08342580497264862,0.12397827953100204,0.7702836990356445
0.0,0.0,0.0,0.0,152,15.199999809265137,1.0,1.0,1.0,1.0,0.023416562005877495,0.12239576131105423,0.12393635511398315,0.7302513122558594
0.0,0.0,0.0,0.0,153,15.300000190734863,1.0,1.0,1.0,1.0,0.010846907272934914,0.16834348440170288,0.19855999946594238,0.6222496032714844
0.0,0.0,0.0,0.0,154,15.399999618530273,1.0,1.0,1.0,1.0,0.00980878435075283,0.145124152302742,0.24891933798789978,0.5961477756500244
0.0,0.0,0.0,0.0,155,15.5,1.0,1.0,1.0,1.0,0.05585301294922829,0.11410216987133026,0.23026421666145325,0.5997805595397949
0.0,0.0,0.0,0.0,156,15.600000381469727,1.0,1.0,1.0,1.0,0.09578825533390045,0.07390600442886353,0.25212594866752625,0.5781797766685486
0.0,0.0,0.0,0.0,157,15.699999809265137,1.0,1.0,1.0,1.0,0.079954132437706,0.08287885040044785,0.2701616585254669,0.5670053958892822
0.0,0.0,0.0,0.0,158,15.800000190734863,1.0,1.0,1.0,1.0,0.07933862507343292,0.04544144123792648,0.30225884914398193,0.5729610919952393
0.0,0.0,0.0,0.0,159,15.899999618530273,1.0,1.0,1.0,1.0,0.04133513942360878,0.022612836211919785,0.33396556973457336,0.6020864248275757
0.0,0.0,0.0,0.0,160,16.0,1.0,1.0,1.0,1.0,0.20712506771087646,0.014623571187257767,0.39456862211227417,0.3836827576160431
